"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"Palestine",236.76579284668,262.163787841797,111.659797668457,215.213806152344,201.468002319336,145.000091552734,189.53059387207,209.24299621582,165.175994873047,285.373107910156,136.962295532227,153.591995239258,279.218597412109,267.917083740234,125.847801208496,279.080505371094,97.839599609375,170.716003417969,219.878402709961,141.811904907227,87.7495040893555,157.277496337891,211.778503417969,229.326599121094,184.443206787109,169.86100769043,151.627502441406,164.420806884766,148.17790222168,123.938194274902,146.05110168457,145.369995117188
"Saudi Arabia",127.485947903969,110.927980143046,105.895279578339,186.210511315984,116.879448669763,89.7294329842218,120.096904602325,121.226264159113,87.8581110618097,94.0151444030323,126.162019532018,60.7205352700872,77.8742632275863,110.046093582592,139.392930734758,85.2810078504274,140.265089210675,131.048655261582,156.55098854998,99.897607216046,66.5364798676196,66.0717843789848,67.7994818371834,78.8491348705703,87.7101462549443,84.1434401244568,105.512993129209,83.6881863889077,53.8526109105391,52.9069618623034,66.5337114347828,61.40024563906
"Egypt",29.1315359595072,32.6844616278759,24.9412538122736,29.298276516614,32.6847561340964,21.7926865256294,29.9070041100623,26.9414835608467,27.2181932491492,39.6186666752093,24.2626970790697,21.2403635109327,44.0895517992051,32.4169279845709,28.7418199790775,50.2939188243276,21.7690543150375,27.1013206671615,36.2487366825178,33.5125220585923,19.2232809517924,39.3133544653489,24.8721635311183,29.436407170243,30.4125145909207,26.2318018472326,29.0323168734161,24.3194679835225,28.5390764178492,27.3234526656609,29.0927064945685,24.1920335711037
"Kuwait",126.399502754211,137.62317276001,145.972855567932,228.288064956665,93.2899904251099,141.357936859131,123.835984230042,189.209506988525,132.095611572266,163.619701385498,197.562616348267,99.959436416626,223.670127868652,230.355401992798,254.63868522644,217.16895866394,261.964744567871,225.507863998413,255.76037979126,203.232048034668,193.323652267456,190.232433319092,135.562103271484,149.45609664917,131.578538894653,189.2822265625,223.986944198608,167.128650665283,120.923289299011,75.3944511413574,133.933602333069,45.259937286377
"Western Sahara",100.177134236982,51.4093063108383,56.8716269052157,32.3431121457008,33.9508667812553,39.8576566429548,52.9455779085877,66.9287187309675,108.302033332086,78.7267794660343,96.7506758166898,59.7844245254353,91.5497206411054,27.8815019053798,81.911565021802,54.268557312668,75.3193251497002,84.323549783358,45.8802426245905,58.5660281847882,72.6517155965169,41.1190181034867,24.3002808376025,64.3644694666709,97.9696482996787,59.4557968467794,96.9312928722751,81.8602477042906,46.711577938449,54.3228119265649,79.2832620887346,78.5046402305685
"Mauritania",129.864259454939,110.880032836066,126.279065757328,85.0601425886154,67.3147756152683,84.2518456617991,101.41950190862,115.130925549401,115.428789573246,122.618610514535,141.758988730113,75.7290095594194,87.6733644697401,113.25825712151,138.064512909783,141.525424893697,146.27848643197,105.930457501941,97.8504763709174,100.813174703386,150.302543258667,115.018184894986,100.348462424013,89.1146447552575,166.065713924832,109.373443577025,144.833911493089,124.25745912128,99.5688833740022,133.992293760512,151.03924325837,183.820794423421
"Qatar",100.455602010091,88.8679377237956,53.4608662923177,257.633865356445,111.793935139974,66.4297358194987,43.879332224528,102.445597330729,71.6756006876628,157.07706451416,128.040194193522,81.2139650980632,98.0356636047363,163.083727518717,155.71662902832,80.9385325113932,269.590118408203,148.200004577637,224.97407023112,107.314534505208,97.3562367757161,116.100803375244,45.1576334635417,94.3410339355469,157.427070617676,117.528966267904,116.236498514811,149.109764099121,70.6820678710938,60.5049336751302,105.387435913086,44.2925669352214
"Oman",77.569098437274,53.630500793457,52.5443904311569,157.551616456774,195.381805278637,28.1392640007867,24.9109996513084,79.0337768837258,105.641938032927,105.961164615772,127.320377067283,102.833320405748,60.7029274481314,137.531063680296,75.6629933251275,77.9439268995214,152.672913021512,139.926328941628,189.207362775449,81.5662954118517,67.075277434455,59.7952482788651,36.4856398547137,81.5007299847073,83.2504097267433,87.2912668298792,101.666570345561,100.446877161662,124.532334857517,66.2737213240729,83.9923887252808,88.1287464918914
"United Arab Emirates",120.154039465863,90.2197746608568,59.3312616762908,266.141312972359,136.450962232507,30.6522001183551,24.3037563821544,86.7467133895211,107.517876998238,171.805513796599,108.499382682469,91.5880155148713,83.3042262533437,147.985186701236,132.668882950493,55.5841306603473,203.563440737517,156.761413905932,222.37030161982,113.740028049635,79.9584662395975,68.3633152505626,49.4356039296026,93.1098911451257,106.74069777779,90.0342486837636,114.808362546174,128.152931213379,61.0550882090693,122.55094677469,105.068822446077,61.2077513985012
"Mali",330.658244050359,338.908103505119,332.555722891028,285.754414015687,251.326827493708,248.041438542708,288.452676549728,307.031490906619,266.22574695882,354.357774013099,325.319191640099,266.614528910617,320.209826887073,330.022822091954,314.622884607427,432.334800175258,332.288771832576,324.782191193913,308.067547492177,364.104068407689,429.958694341869,316.523519134075,338.513015864325,284.918994461345,422.161516033235,338.383551800837,343.876365536549,331.689972593857,343.695003949507,392.785123892076,338.036706620692,391.820720690475
"Niger",171.88958124123,193.14762426603,153.481361809343,139.696732266114,122.139078491985,89.9723938502888,139.01114857787,157.26731869962,116.142729294182,187.233130445575,157.930457565454,118.807475503128,175.264034743356,180.490385201898,150.151361515026,235.420671471865,146.199672006144,140.910183472208,144.479151496793,196.267548365168,209.255789787462,143.674109535642,162.202554480864,157.397100421462,204.492353809942,137.373071941999,193.28671836853,178.853687307622,190.795629954574,186.432832758025,154.898080540175,216.798155010337
"Chad",354.982752313147,377.452188656325,351.522994172601,300.848643309587,270.482360790937,232.409446751877,290.262563972206,280.706686059912,276.092540943261,418.641037468032,323.350686868032,248.32420977568,336.808060533795,336.706514926501,285.91991810643,419.101284407236,354.725756457913,326.881267916628,322.997139196018,385.332832727677,409.775614313868,299.219015447132,377.122942697196,310.217613106841,372.701766009653,343.777730989012,390.338540770791,426.298185301827,341.150691071868,371.664872542406,280.077039905361,394.60044604526
